source,title,company,city,work_format,requirements,salary,link
Habr Career,Системный администратор,Oxygen Data Centers & Clouds,Не указан,Офис / Гибрид,"Администрирование Windows, Linux, Active directory",,https://career.habr.com/vacancies/1000168415
Habr Career,Team Lead C# (.net),Action tech,Не указан,Офис / Гибрид,"Microsoft SQL, RabbitMQ, .NET, PostgreSQL, Проектирование архитектуры приложений, Apache Kafka, .NET Core, Управление людьми, Построение команды",,https://career.habr.com/vacancies/1000129582
Habr Career,Системный аналитик DWH / Проектная работа / АУТСТАФФ,Extyl,Не указан,Офис / Гибрид,"SQL, DWH",,https://career.habr.com/vacancies/1000168510
Habr Career,Главный дата-инженер,Альфа-Банк,Не указан,Офис / Гибрид,"Python, ClickHouse, CI/CD, Apache Kafka, Apache Spark, ETL, Машинное обучение",,https://career.habr.com/vacancies/1000166579
Habr Career,Middle/Senior DevOps Engineer [МТС Веб Сервисы],МТС Web Services,Не указан,Офис / Гибрид,"Kubernetes, Terraform",,https://career.habr.com/vacancies/1000165607
Habr Career,IT Project Manager (BI Stream),Marfatech,Не указан,Офис / Гибрид,"Agile, Jira, Confluence",,https://career.habr.com/vacancies/1000167827
Habr Career,Бизнес-аналитик,Cloud.ru,Не указан,Офис / Гибрид,"SQL, LLM",,https://career.habr.com/vacancies/1000167163
Habr Career,Entry-level Python Developer (CAD Automation),Storygold AI,Не указан,Офис / Гибрид,Python,от 800 до 1200 $,https://career.habr.com/vacancies/1000168299
Habr Career,Разработчик Hadoop ,ГНИВЦ,Не указан,Офис / Гибрид,"Java, Scala, Linux, Apache Spark, Apache Hadoop",,https://career.habr.com/vacancies/1000168052
Habr Career,Руководитель направления позиционирования продукта,Cloud.ru,Не указан,Офис / Гибрид,"DWH, LLM",,https://career.habr.com/vacancies/1000167169
Habr Career,Middle+ Product Analyst (Запись в клиники),СберЗдоровье,Не указан,Офис / Гибрид,"SQL, Python",,https://career.habr.com/vacancies/1000168652
Habr Career,Системный администратор,Лига Цифровой Экономики,Не указан,Офис / Гибрид,Apache Hadoop,,https://career.habr.com/vacancies/1000166770
Habr Career,Lead Linux Kernel Developer / Ведущий инженер-программист (TATLIN.UNIFIED),YADRO,Не указан,Офис / Гибрид,"Linux, Алгоритмы, Алгоритмы и структуры данных, Linux kernel, C",,https://career.habr.com/vacancies/1000167017
Habr Career,MLOps Engineer/Лидер команды (ИТ-лидер команды),Aston,Не указан,Офис / Гибрид,"Python, Большие данные, Apache Hadoop, Apache Spark, SQL, Базы данных",,https://career.habr.com/vacancies/1000166983
Habr Career,MLOps Engineer,Aston,Не указан,Офис / Гибрид,LLM,,https://career.habr.com/vacancies/1000165362
Habr Career,IOS-разработчик,Okko,Не указан,Офис / Гибрид,"Objective-С, Swift",,https://career.habr.com/vacancies/1000166483
Habr Career,Ведущий системный аналитик,МТС Банк,Не указан,Офис / Гибрид,"REST, SQL, SOAP, UML, BPMN",,https://career.habr.com/vacancies/1000167343
Habr Career,Директор по разработке платформы машинного обучения,МегаФон,Не указан,Офис / Гибрид,"Управление людьми, Построение команды, Управление разработкой",,https://career.habr.com/vacancies/1000167811
Habr Career,Аналитик DWH ,Top Selection,Не указан,Офис / Гибрид,Базы данных,от 250 000 до 270 000 ₽,https://career.habr.com/vacancies/1000167812
Habr Career,Ведущий Java-разработчик,БФТ - Холдинг,Не указан,Офис / Гибрид,"Java, Spring Boot, RabbitMQ, Git, PostgreSQL",,https://career.habr.com/vacancies/1000166887
Habr Career,Аналитик-разработчик (A/B тесты),Вкусно - и точка,Не указан,Офис / Гибрид,SQL,,https://career.habr.com/vacancies/1000168357
